ID,Year,Host,strain name
EPI1944304,2021,Galliformes,A/chicken/Italy/21VIR10389/2021
EPI2178590,2022,Aves,A/northern fulmar/Sweden/SVA220628SZ0328/FB002021/O-2022
EPI2073632,2022,Aves,A/Sandwich Tern/Netherlands/8/2022
EPI3280409,2023,Anseriformes,A/Ross's goose/Kansas/W23-968B/2023
EPI2842819,2022,Anseriformes,A/Anas_platyrhynchos/Belgium/12522_0002/2022
EPI2850427,2023,Anseriformes,A/barnacle goose/Sweden/SVA231201SZ0276/FB004872/K-2023
EPI2609280,2023,Aves,A/Pelican/Coquimbo/231946-1/2023
EPI2139800,2021,Galliformes,A/turkey/Italy/21VIR9697-3_/2022
EPI3310676,2022,Aves,A/Mallard/BC/FAV-0934-22/2022
EPI2198164,2022,Galliformes,A/Chicken/England/134115/2022
EPI2709306,2022,Aves,A/Barred Owl/Minnesota/USDA-011871-010/2022
EPI3308360,2022,Aves,A/Mixed/SK/FAV-1051-1/2022
PQ051786,2024,Artiodactyla,A/cattle/ID/24-015196-009-original/2024
EPI2073624,2022,Aves,A/Caspian Gull/Netherlands/4/2022
EPI1995045,2022,Aves,A/Sanderling/Netherlands/1/2022
EPI2850419,2023,Anseriformes,A/barnacle goose/Sweden/SVA231201SZ0276/FB004873/K-2023
EPI2609276,2023,Aves,A/Pelican/Maule/231155-2/2023
EPI3310668,2022,Aves,A/Mixed/AB/FAV-0893-1/2022
EPI2455292,2023,Aves,A/cygnus_cygnus/Romania/10171_23VIR1145-9/2023
EPI2198156,2022,Galliformes,A/Chicken/England/129801/2022
EPI3260819,2024,Artiodactyla,A/dairy cow/Texas/24_009367-003/2024
EPI2885947,2022,Galliformes,A/chicken/Miyagi/21A6T/2022
EPI3447168,2023,Aves,A/turkey/Michigan/23-039966-001-original/2023
EPI3447160,2023,Aves,A/chicken/Kansas/23-039959-001-original/2023
EPI2073615,2022,Aves,A/Little egret/Israel/172/2022
EPI3115337,2023,Charadriiformes,A/Larus ridibundus/Spain/CR4063/2023
PQ051770,2024,Artiodactyla,A/cattle/ID/24-015196-006-original/2024
EPI2455284,2023,Aves,A/cygnus_cygnus/Romania/10164_23VIR1145-8/2023
EPI2198148,2022,Galliformes,A/Chicken/England/129733/2022
EPI2198140,2022,Galliformes,A/Chicken/England/129627/2022
EPI2885931,2022,Galliformes,A/chicken/Miyagi/21A3C/2022
EPI2742763,2022,Environment,A/Em/Korea/22WF296-4P/2022
EPI2198132,2022,Galliformes,A/Chicken/England/128527/2022
EPI3277698,2023,Aves,A/blue-winged teal/Louisiana/23-028760-020/2023
EPI3447144,2023,Aves,A/chicken/Kansas/23-039958-001-original/2023
EPI2742755,2022,Aves,A/Bean goose/Korea/22WC178/2022
EPI1995013,2021,Aves,A/Mallard/Netherlands/5/2021
EPI1949198,2021,Anseriformes,A/Bar-headed Goose/Tibet/XZ901/2021
EPI108065,2005,Anseriformes,A/duck/Guiyang/3467/2005
EPI108061,2005,Anseriformes,A/goose/Guiyang/3405/2005
EPI3226938,2023,Anseriformes,A/duck/Bangladesh/58828/2023
EPI2893528,2023,Anseriformes,A/duck/Bangladesh/SJCEIRR-58395/2023
EPI3310636,2022,Aves,A/Northern_Gannet/NL/FAV-0905-6/2022
EPI1949190,2021,Anseriformes,A/Bar-headed Goose/Tibet/XZ1131/2021
EPI2198124,2022,Galliformes,A/Chicken/England/128321/2022
EPI2885916,2022,Galliformes,A/chicken/Miyagi/21A13T/2022
EPI3447136,2023,Aves,A/chicken/Kansas/23-039877-001-original/2023
EPI3308328,2022,Aves,A/Northern_Gannet/PE/FAV-0701-1/2022
EPI2708895,2022,Aves,A/Black Vulture/Florida/USDA-009058-003/2022
EPI3308320,2022,Aves,A/Herring_Gull/QC/FAV-0829-1/2022
EPI2742747,2022,Aves,A/Hooded crane/Korea/22WC177/2022
EPI1995005,2021,Aves,A/Mallard/Netherlands/4/2021
EPI108059,2005,Anseriformes,A/duck/Guiyang/3390/2005
EPI108057,2005,Galliformes,A/chicken/Guiyang/3312/2005
EPI2943369,2023,Sphenisciformes,A/African penguin/South Africa/719984 DOA314/2023
EPI3441829,2024,Artiodactyla,A/dairy cow/New Mexico/24_010330-002-300/2024
EPI108053,2005,Anseriformes,A/goose/Guiyang/3169/2005
EPI2455252,2023,Aves,A/cygnus_olor/Romania/10039_23VIR1145-4/2023
EPI2198116,2022,Galliformes,A/Chicken/England/127861/2022
EPI3447128,2023,Aves,A/green-winged teal/Wisconsin/23-035004-001-original/2023
EPI2943361,2023,Sphenisciformes,A/African penguin/South Africa/719674 DOA307/2023
EPI3226922,2023,Anseriformes,A/duck/Bangladesh/58587/2023
EPI2708888,2022,Accipitriformes,A/Bald Eagle/Vermont/USDA-009551-001/2022
EPI3447120,2023,Aves,A/green-winged teal/Indiana/23-034643-006-original/2023
EPI3308312,2022,Aves,A/Great_Horned_Owl/BC/FAV-0856-18/2022
EPI2742739,2022,Aves,A/Hooded crane/Korea/22WC167/2022
EPI2742731,2022,Aves,A/Hooded crane/Korea/22WC154/2022
EPI108049,2005,Anseriformes,A/goose/Guiyang/3144/2005
EPI2505091,2023,Aves,A/European herring gull/Netherlands/11/2023
EPI2455244,2023,Aves,A/cygnus_cygnus/Romania/10008_23VIR1145-3/2023
EPI2198108,2022,Galliformes,A/Chicken/England/127733/2022
EPI2943353,2023,Sphenisciformes,A/African penguin/South Africa/718753 DOA297/2023
EPI3226915,2023,Anseriformes,A/duck/Bangladesh/58588/2023
EPI2893504,2023,Anseriformes,A/duck/Bangladesh/SJCEIRR-58400/2023
EPI2198100,2022,Galliformes,A/Chicken/England/126673/2022
EPI3447112,2023,Aves,A/mallard/Missouri/23-034484-001-original/2023
EPI3308304,2022,Aves,A/Great_Black-Backed_Gull/QC/FAV-0870-4/2022
EPI2505082,2023,Aves,A/European herring gull/Netherlands/10/2023
EPI2455236,2022,Aves,A/cygnus_cygnus/Romania/17198_23VIR1145-2/2022
EPI3447104,2023,Aves,A/mallard/Missouri/23-034483-001-original/2023
EPI2742715,2022,Environment,A/Em/Korea/22WF252-7P/2022
EPI1943857,2021,Galliformes,A/turkey/Germany-NI/AI04455/2021
EPI1943856,2021,Anseriformes,A/barnacle goose/Germany-NI/AI03914/2021
EPI1943854,2021,Aves,A/oystercatcher/Germany-NI/AI05047/2021
EPI2455228,2022,Aves,A/cygnus_olor/Romania/17142_23VIR1145-1/2022
EPI2505072,2023,Aves,A/Black-headed gull/Netherlands/28/2023
EPI2943337,2023,Aves,A/African black oystercatcher/South Africa/719984 OY002/2023
EPI2455220,2023,Anseriformes,A/anas_platyrhynchos/Romania/10368_23VIR1368-2/2023
EPI3403586,2023,Aves,A/pintail/California/23-034302-003-original/2023
EPI2779186,2023,Charadriiformes,A/Sterna_hirundo/Belgium/06764_0002/2023
EPI2708857,2022,Accipitriformes,A/Bald Eagle/Vermont/USDA-009551-002/2022
EPI2742707,2022,Aves,A/black-headed gull/Korea/22WC117/2022
EPI1943846,2021,Anseriformes,A/barnacle goose/Germany-NI/AI03980/2021
EPI1943845,2021,Galliformes,A/turkey/Germany-NI/AI04373/2021
EPI1943844,2021,Galliformes,A/turkey/Germany-NI/AI04425/2021
EPI2505063,2023,Aves,A/Black-headed gull/Netherlands/27/2023
EPI1943842,2021,Anseriformes,A/Eurasian wigeon/Germany-SH/AI05948/2021
EPI2455212,2023,Aves,A/corvus_corvus/Romania/10368_23VIR1368-1/2023
EPI3403578,2023,Aves,A/pintail/California/23-034293-006-original/2023
EPI3411183,2024,Artiodactyla,A/dairy cow/New Mexico/24_010195-004/2024
EPI3403570,2023,Aves,A/black vulture/South Carolina/23-034287-005-original/2023
EPI2779171,2023,Charadriiformes,A/Chroicocephalus_ridibundus/Belgium/06764_0001/2023
EPI3650014,2024,Primates,A/British_Columbia/PHL-2032/2024
EPI2909469,2022,Anseriformes,A/northern pintail/Alaska/USGS-0335/2022
EPI2909461,2022,Anseriformes,A/northern pintail/Alaska/USGS-0326/2022
EPI3411176,2024,Aves,A/hawk/USA/24-004080-001-R2/2024
EPI2779167,2023,Aves,A/black-headed gull/Germany-NI/2023AI06620/2023
EPI3484915,2024,Aves,A/American_Crow/BC/AIVPHL-1881/2024
EPI3403562,2023,Aves,A/black vulture/South Carolina/23-034287-004-original/2023
EPI2779164,2023,Aves,A/sandwich tern/Germany-NI/2023AI06881/2023
EPI2779160,2023,Aves,A/gull/Germany-NI/2023AI06886/2023
EPI1963400,2021,Anseriformes,A/domestic_duck/Scotland/054469/2021
EPI2708831,2022,Aves,A/Black Vulture/Florida/USDA-009058-005/2022
EPI2712089,2022,Aves,A/Great Horned Owl/Minnesota/USDA-013128-001/2022
EPI3604182,2024,Artiodactyla,A/dairy cow/USA/24_027490-001/2024
EPI2712081,2022,Anseriformes,A/goose/Delaware/USDA-004745-001/2022
EPI2909453,2022,Anseriformes,A/northern pintail/Alaska/USGS-0226/2022
EPI2998411,2024,Galliformes,A/chicken/Czech Republic/1918-3/2024
EPI3261291,2024,Artiodactyla,A/dairy cow/Michigan/24_010071-008/2024
EPI3484907,2024,Aves,A/American_Crow/BC/AIVPHL-1880/2024
EPI3411163,2024,Aves,A/hawk/USA/24-008306-001/2024
EPI2779153,2023,Aves,A/gull/Germany-NI/2023AI06805/2023
EPI2708824,2022,Accipitriformes,A/Bald Eagle/Vermont/USDA-010414-001/2022
EPI3307882,2022,Aves,A/Great_Horned_Owl/AB/FAV-0833-41/2022
EPI3604174,2024,Artiodactyla,A/dairy cow/USA/24_028762-001/2024
EPI2704466,2022,Aves,A/Red-tailed Hawk/Colorado/USDA-012769-001/2022
EPI3528082,2024,Aves,A/Canada goose/Michigan/24-000650-001-original/2024
EPI2909445,2022,Anseriformes,A/northern pintail/Alaska/USGS-0073/2022
EPI2162147,2022,Galliformes,A/Turkey/Spain/830-5/2022
EPI2162145,2022,Galliformes,A/Turkey/Spain/803-7/2022
EPI2823693,2023,Environment,A/environment/Kagoshima/KU-G1/2023 (H5N1)
EPI2162143,2022,Galliformes,A/Turkey/Spain/711-5/2022
EPI2162142,2022,Host,A/Anade/Spain/1302-1/2022
EPI3411156,2024,Aves,A/hawk/USA/24-005993-001/2024
EPI2162141,2022,Anseriformes,A/Anser anser/Spain/1124-21/2022
EPI2086050,2022,Aves,A/dalmatian pelican/Astrakhan/213-1V/2022
EPI2162140,2022,Anseriformes,A/Anser anser/Spain/1035-1/2022
EPI2779146,2023,Aves,A/peregrine falcon/Germany-NW/2023AI06880/2023
EPI3411150,2024,Artiodactyla,A/dairy cow/Texas/24_009308-002/2024
EPI1982591,2021,Anseriformes,A/barnacle_goose/Sweden/SVA211216SZ0382/FB004836/2021
EPI3323093,2022,Aves,A/black brant/Alaska/22-018101-001/2022
EPI3307874,2022,Aves,A/Great_Black-Backed_Gull/QC/FAV-0659-7/2022
EPI3315480,2022,Aves,A/Mixed/AB/FAV-1654/2022
EPI2259487,2022,Aves,A/chicken/Minnesota/22-015759-002/2022
EPI2909437,2022,Anseriformes,A/cackling goose/Alaska/USGS-0251/2022
EPI2122980,2022,Anseriformes,A/Branta_canadensis/Belgium/5177_0003/2022
EPI2162139,2022,Host,A/Ardea cinerea/Spain/863-1/2022
EPI3261275,2024,Artiodactyla,A/dairy cow/Texas/24_009110-021/2024
EPI2162138,2022,Host,A/Ciconia ciconia/Spain/853-14/2022
EPI2162137,2022,Host,A/Cygnus/Spain/810-4/2022
EPI2162136,2022,Anseriformes,A/Anser anser/Spain/750-3/2022
EPI2162133,2022,Galliformes,A/Turkey/Spain/1097-6/2022
EPI3403538,2023,Aves,A/black vulture/South Carolina/23-034287-001-original/2023
EPI3403530,2023,Aves,A/American wigeon/Colorado/23-034259-003-original/2023
EPI1982581,2021,Anseriformes,A/barnacle_goose/Sweden/SVA211221SZ0510/FB004869/2021
EPI2708806,2022,Aves,A/Black Vulture/Florida/USDA-007312-001/2022
EPI3307866,2022,Aves,A/Common_Eider/QC/FAV-0660-11/2022
EPI2708800,2022,Aves,A/Black Vulture/Florida/USDA-009058-006/2022
EPI3446670,2024,Artiodactyla,A/dairy cow/USA/24_019634-002/2024
EPI3528066,2023,Aves,A/gadwall/California/23-039481-004-original/2023
EPI2909429,2022,Anseriformes,A/american wigeon/Alaska/USGS-0890/2022
EPI3604150,2024,Artiodactyla,A/dairy cow/USA/24_028770-001/2024
EPI2122972,2022,Anseriformes,A/Branta_canadensis/Belgium/4821_0001/2022
EPI3261267,2024,Aves,A/western gull/California/24_004708-001/2024
EPI2886393,2022,Aves,A/emu/Hokkaido/21C1T/2022
EPI2086034,2022,Corvidae,A/crow/Khabarovsk/216-13V/2022
EPI2697734,2023,Charadriiformes,A/black-headed-gull/Finland/8244/2023
EPI3411134,2024,Artiodactyla,A/dairy cow/Idaho/24_009779-005/2024
EPI3403522,2023,Aves,A/mallard/Iowa/23-034037-004-original/2023
EPI1982571,2021,Anseriformes,A/barnacle_goose/Sweden/SVA211221SZ0510/FB004868/2021
EPI3315464,2022,Aves,A/Barred_Owl/BC/FAV-0053-23/2022
EPI3446662,2024,Artiodactyla,A/dairy cow/Colorado/24_018871-004/2024
EPI3528058,2023,Aves,A/Canada goose/California/23-039035-001-original/2023
EPI1962992,2021,Galliformes,A/chicken/Rostov-on-Don/159-1V/2021
EPI3303498,2022,Aves,A/American_Crow/MB/FAV-0364-9/2022
EPI3528050,2023,Aves,A/northern shoveler/Nevada/23-039034-004-original/2023
EPI3177558,2023,Carnivora,A/Fox/Bavaria/i193/2023
EPI2886385,2022,Aves,A/emu/Hokkaido/21C1C/2022
EPI2122960,2022,mammals,A/Fox/Netherlands/EMC6/2022
EPI2259463,2022,Aves,A/chicken/South Dakota/22-015737-001/2022
EPI2697726,2023,Charadriiformes,A/black-headed-gull/Finland/8243/2023
EPI3403514,2023,Aves,A/green-winged teal/Iowa/23-034037-002-original/2023
EPI1982563,2021,Anseriformes,A/barnacle goose/Sweden/SVA211221SZ0510/FB004867/2021
EPI1962984,2021,Galliformes,A/chicken/Stavropol/146-1V/2021
EPI3307842,2022,Aves,A/Common_Eider/QC/FAV-0660-8/2022
EPI2712036,2022,Anseriformes,A/goose/Tennessee/USDA-010667-001/2022
EPI3311098,2022,Aves,A/Canada_Goose/ON/FAV-0983-1/2022
EPI3528042,2023,Aves,A/mallard/Iowa/23-038177-001-original/2023
EPI2886377,2022,Accipitriformes,A/white-tailed eagle/Hokkaido/20220418002T/2022
EPI2122952,2022,mammals,A/Fox/Netherlands/EMC5/2022
EPI2086018,2022,Corvidae,A/crow/Khabarovsk/216-12V/2022
EPI3303482,2022,Aves,A/Turkey_Vulture/QC/FAV-0434-1/2022
EPI1994523,2022,Anseriformes,A/barnacle goose/Sweden/SVA220217SZ0388/FB00388/K-2022
EPI2697718,2023,Charadriiformes,A/black-headed-gull/Finland/8145/2023
EPI3177542,2023,Anseriformes,A/goose/Bavaria/wv196/2023
EPI853979,2015,Galliformes,A/chicken/BC/FAV2/2015
EPI2697710,2023,Charadriiformes,A/black-headed-gull/Finland/8143/2023
EPI3323058,2022,mammal,A/brown bear/Alaska/22-039119-001/2022
EPI3358588,2023,Aves,A/turkey/South Dakota/23-038246-001/2023
EPI3528034,2023,Aves,A/mallard/Illinois/23-038142-012-original2/2023
EPI2122945,2022,mammals,A/Fox/Netherlands/EMC4/2022
EPI2259447,2022,Aves,A/chicken/Idaho/22-015657-001/2022
EPI3303474,2022,Aves,A/Rough-Legged_Hawk/QC/FAV-0306-1/2022
EPI2962454,2024,Aves,A/large-billed crow/Hokkaido/B076/2024
EPI1994515,2022,Aves,A/northern goshawk/Sweden/SVA220210SZ0305/FP000317/O-2022
EPI3358580,2023,Aves,A/chicken/South Dakota/23-038240-001/2023
EPI3177534,2023,Anseriformes,A/goose/Bavaria/wv351/2023
EPI2086002,2022,Corvidae,A/crow/Khabarovsk/216-11V/2022
EPI3446639,2024,Artiodactyla,A/dairy cow/Minnesota/24_018975-002/2024
PP753661,2024,Galliformes,A/chicken/Texas/24-009654-004/2024
EPI1962968,2021,Galliformes,A/chicken/Kursk/132-1V/2021
EPI3446631,2024,Artiodactyla,A/dairy cow/Minnesota/24_018975-003/2024
EPI3528026,2023,Aves,A/snow goose/Mississippi/23-038133-001-original/2023
EPI2259439,2022,Aves,A/chicken/Idaho/22-015656-001/2022
EPI1994506,2022,Anseriformes,A/Mute Swan/Sweden/SVA220127SZ039422/FB000218/AB-2022
EPI2886353,2022,Corvidae,A/jungle crow/Hokkaido/20220404002T/2022
EPI2259431,2022,Aves,A/chicken/Idaho/22-015655-001/2022
EPI1982537,2021,Galliformes,A/Chicken/Sweden/SVA211229SZ0010/FB315276/2021
EPI2743187,2023,Aves,A/white-fronted goose/Korea/22WC460/2023
EPI2573989,2023,Aves,A/Black-Headed_Gull/England/259302/2023
EPI3323039,2022,Anseriformes,A/cackling goose/Alaska/IZ22_0116/2022
EPI2573981,2023,Aves,A/Black-Headed_Gull/England/259288/2023
EPI2930897,2021,Anseriformes,A_barnacle_goose_Denmark_25242-1.01_2021
EPI3315424,2022,Aves,A/Chicken/BC/FAV-1648-1/2022
EPI3528018,2023,Aves,A/gadwall/Louisiana/23-038130-006-original/2023
EPI3303458,2022,Aves,A/Great_Horned_Owl/AB/FAV-0505-3/2022
EPI3311066,2022,Aves,A/Double-Crested_Cormorant/PE/FAV-1007-1/2022
EPI3358564,2023,Aves,A/chicken/Arkansas/23-037987-002/2023
EPI3528010,2023,Aves,A/ring-necked duck/Florida/23-038112-112-original/2023
EPI2259423,2022,Aves,A/chicken/Idaho/22-015654-001/2022
EPI4969,1997,Galliformes,A/chicken/chiapis/15224/97
EPI1982529,2021,Charadriiformes,A/European Herring Gull/Sweden/SVA211116SZ0432/FB004518/2021
EPI2743179,2023,Accipitriformes,A/eagle/Korea/22WC464/2023
EPI2743171,2023,Aves,A/common kestrel/Korea/22WC453/2023
EPI2573973,2023,Aves,A/Black-Headed_Gull/Wales/066100/2023
EPI2311575,2022,Aves,A/northern gannet/MA/22WI00050/2022
EPI3323021,2022,Anseriformes,A/cackling goose/Alaska/IZ22_0117/2022
EPI2122917,2022,Anseriformes,A/Branta_leucopsis/Belgium/2606_0009/2022
EPI2930881,2021,Accipitriformes,A_common_buzzard_Denmark_24962-1.01_2021
EPI3311058,2022,Aves,A/Green-Winged_Teal/BC/FAV-0053-8/2022
EPI3528002,2023,Aves,A/blue-winged teal/Florida/23-038112-097-original/2023
EPI3442254,2024,Galliformes,A/turkey/Minnesota/24-014760-001/2024
EPI2550403,2023,Galliformes,A/guinea_fowl/Niger/71-23_23VIR3551-38/2023
EPI2886337,2022,Corvidae,A/jungle crow/Hokkaido/0103Q080T/2022
EPI2259415,2022,Aves,A/duck/Colorado/22-015599-001/2022
EPI2428499,2022,Aves,A/turkey/BC/AIVPHL-169/2022
EPI3311050,2022,mammals,A/Red_Fox/ON/FAV-1132-1/2022
EPI2428491,2022,Aves,A/turkey/BC/AIVPHL-171/2022
EPI2528518,2021,Anseriformes,A/duck/Egypt/RA19853OP/2021
EPI1982513,2021,Galliformes,A/Turkey/Sweden/SVA211227SZ0006/FB312473/2021
EPI2743163,2023,Aves,A/Bean goose/Korea/22WC432/2023
EPI2573965,2023,Aves,A/Black-Headed_Gull/England/064254/2023
EPI2077991,2022,Galliformes,A/Gallus gallus/Belgium/8092_0002/2022
EPI2122909,2022,Accipitriformes,A/Buteo_buteo/Belgium/2606_0006/2022
EPI2930873,2021,Accipitriformes,A_common_buzzard_Denmark_25424-1.02_2021
EPI3442247,2024,Galliformes,A/turkey/Minnesota/24-014759-003/2024
EPI2639883,2023,Aves,A/Common_Tern/England/401301/2023
EPI2886329,2022,Corvidae,A/jungle crow/Hokkaido/0103Q079T/2022
EPI2559687,2023,Charadriiformes,A/black-headed_gull/Italy/23VIR2309-1/2023
EPI3311042,2022,Aves,A/Northern_Shoveler/MB/FAV-1266-13/2022
EPI2428486,2022,Aves,A/snow_goose/BC/AIVPHL-168/2022
EPI2886321,2022,Corvidae,A/jungle crow/Hokkaido/0103Q078T/2022
EPI2608705,2023,Aves,A/common_tern/Czech_Republic/8807-5/2023
EPI2428481,2022,Aves,A/bald_eagle/BC/AIVPHL-166/2022
EPI2743155,2023,Aves,A/northern goshawk/Korea/22WC428/2023
EPI2573957,2023,Aves,A/Black-Headed_Gull/England/063263/2023
EPI2077983,2022,Charadriiformes,A/Thalasseus sandvicensis/Belgium/7473_0009/2022
EPI2311559,2022,Aves,A/snowy owl/MA/22MM00463/2022
PP753621,2024,Artiodactyla,A/cattle/Ohio/24-009586-007/2024
EPI1944296,2021,Galliformes,A/turkey/Italy/21VIR9816-1/2021
EPI2311551,2022,Aves,A/snowy owl/MA/22MM00323/2022
EPI2639875,2023,Aves,A/Common_Tern/England/401299/2023
EPI2559679,2023,Charadriiformes,A/black-headed_gull/Italy/23VIR2235-3/2023
EPI3303426,2022,Aves,A/Coopers_Hawk/BC/FAV-0856-1/2022
EPI2886313,2022,Corvidae,A/jungle crow/Hokkaido/0103Q077T/2022
EPI2428475,2022,Aves,A/canada_goose/BC/AIVPHL-164/2022
EPI2559671,2023,Charadriiformes,A/yellow-legged_gull/Italy/23VIR2234-2/2023
EPI2703992,2022,Anseriformes,A/Muscovy Duck/Florida/USDA-011808-004/2022
EPI2743147,2023,Aves,A/Bean goose/Korea/22WC427/2023
EPI2573949,2023,Galliformes,A/chicken/England/062596/2023
EPI1944288,2021,Galliformes,A/turkey/Italy/21VIR10340/2021
EPI2573941,2023,Anseriformes,A/Domestic_Duck/England/062587/2023
EPI3085065,2024,Galliformes,A/chicken/Czech_Republic/3247-2/2024
EPI1944280,2021,Galliformes,A/chicken/Italy/21VIR10239/2021
EPI3280385,2023,Galliformes,A/chicken/Montana/23-030330-004/2023
EPI2886305,2022,Corvidae,A/jungle crow/Hokkaido/0103Q076T/2022
EPI2139784,2021,Galliformes,A/turkey/Italy/21VIR9693-3/2021
EPI2428467,2022,Aves,A/canada_goose/BC/AIVPHL-152/2022
EPI2711595,2022,Anseriformes,A/Duck/Florida/USDA-006447-001/2022
EPI2559663,2023,Charadriiformes,A/black-headed_gull/Italy/23VIR2233-4/2023
EPI3303410,2022,Aves,A/Chicken/MB/FAV-0276-1/2022
EPI3410676,2024,Artiodactyla,A/dairy cow/USA/24_010930-002/2024
EPI2573933,2023,Aves,A/pheasant/Wales/062149/2023
EPI1999383,2022,Accipitriformes,A/white-tailed eagle/Hokkaido/22-RU-WTE-2/2022
PQ052130,2024,Artiodactyla,A/cattle/TX/24-012457-001-original/2024
EPI2311535,2022,Corvidae,A/american crow/MA/22HP00160/2022
EPI2639859,2023,Aves,A/Herring_Gull/England/260576/2023
EPI2930845,2023,Galliformes,A/chicken/Poland/H509-T/2023
EPI3280377,2024,Aves,A/American white pelican/North Carolina/W24-84/2024
EPI2639851,2023,Aves,A/Common_Tern/England/260528/2023
EPI2766698,2022,Galliformes,A/pheasant/Denmark/07972-1.03/2022-09-12
EPI3358514,2023,Aves,A/wood duck/Washington/23-033636-003/2023
EPI2428459,2022,Aves,A/canada_goose/BC/AIVPHL-156/2022
EPI2559655,2023,Charadriiformes,A/little_gull/Italy/23VIR2222-2/2023
EPI2428451,2022,Aves,A/northwestern_crow/BC/AIVPHL-158/2022
EPI2667036,2023,Aves,A/large-billed crow/Fukuoka/4002A005/2023
EPI1999377,2022,Galliformes,A/chicken/Czech Republic/63/2022
EPI2573925,2023,Aves,A/Black-Headed_Gull/England/060002/2023
EPI2311527,2022,Accipitriformes,A/red-tailed hawk/MA/22HP00157/2022
EPI2930837,2023,Galliformes,A/chicken/Poland/H512-J/2023
EPI3085041,2024,Anseriformes,A/mute_swan/Czech_Republic/2651-3/2024
EPI3280369,2024,Anseriformes,A/Canada goose/North Carolina/W24-51/2024
EPI2639843,2023,Aves,A/Black-Headed_Gull/England/260516/2023
EPI3358506,2023,Aves,A/green-winged teal/California/23-032991-030/2023
EPI2559647,2023,Charadriiformes,A/black-headed_gull/Italy/23VIR2153-1/2023
EPI3314992,2022,Aves,A/Snow_Goose/QC/FAV-0050-1/2022
EPI3280363,2024,Anseriformes,A/Canada goose/North Carolina/W24-74B/2024
EPI2008565,2022,Aves,A/turkey/Kentucky/22-004546-001/2022
EPI2258999,2022,Aves,A/chicken/Washington/22-014744-001/2022
EPI2428443,2022,Aves,A/layer_chicken/BC/AIVPHL-155/2022
EPI2711571,2022,Aves,A/Green-winged Teal/Virginia/USDA-002768-003/2022
EPI2709266,2022,Aves,A/American Crow/North Dakota/USDA-011564-003/2022
EPI1999369,2021,Galliformes,A/chicken/Czech Republic/61-2/2022
EPI2258991,2022,Aves,A/chicken/Washington/22-014739-001/2022
EPI2743115,2023,Aves,A/white-fronted goose/Korea/22WC413/2023
EPI2573917,2023,Galliformes,A/chicken/Wales/059861/2023
EPI1944256,2021,Aves,A/Eurasian_wigeon/Italy/21VIR8919-3/2021
EPI2667020,2023,Aves,A/Eurasian Jay/Tochigi/0902A011/2023
EPI2930829,2023,Anseriformes,A/bean_goose/Poland/MB331/2023
EPI1999361,2021,Galliformes,A/chicken/Czech Republic/61-1/2022
EPI2639835,2023,Aves,A/Peregrine_Falcon/England/260452/2023
EPI2930821,2023,Galliformes,A/turkey/Poland/H551-T1/2023
EPI2559639,2023,Charadriiformes,A/black-headed_gull/Italy/23VIR2152-1/2023
EPI3280356,2024,Anseriformes,A/Canada goose/North Carolina/W24-90A/2024
EPI3314984,2022,Aves,A/Snow_Goose/ON/FAV-1653-5/2022
EPI2042405,2022,Primates,A/Colorado/18/2022
EPI2559631,2023,Charadriiformes,A/black-headed_gull/Italy/23VIR2046-6/2023
EPI2709250,2022,Aves,A/American Wigeon/North Carolina/USDA-001672-005/2022
EPI2667012,2023,Aves,A/northern goshawk/Shizuoka/2201D004/2023
EPI3410644,2024,Galliformes,A/chicken/New Mexico/24-010947-003/2024
EPI2573901,2023,Aves,A/Black-Headed_Gull/England/059292/2023
EPI3085025,2024,Anseriformes,A/mute_swan/Czech_Republic/2651-orig/2024
EPI2639827,2023,Aves,A/Sandwich_Tern/England/260450/2023
EPI1944240,2021,Galliformes,A/chicken/Italy/21VIR10388/2021
EPI2930811,2023,Galliformes,A/turkey/Poland/H542-NM/2023
EPI3280348,2023,Anseriformes,A/wood duck/South Carolina/W24-007C/2023
EPI3314976,2022,Aves,A/Snow_Goose/AB/FAV-0026-1/2022
EPI2428429,2022,Aves,A/american_white_pelican/BC/AIVPHL-141/2022
EPI2559623,2023,Charadriiformes,A/black-headed_gull/Italy/23VIR2039-6/2023
EPI2703943,2022,Aves,A/Pelican/Missouri/USDA-012338-019/2022
EPI2428422,2022,Aves,A/american_white_pelican/BC/AIVPHL-149/2022
EPI2416456,2023,Aves,A/White Stork/Netherlands/23002318-002/2023
EPI2709241,2022,Accipitriformes,A/Bald Eagle/South Dakota/USDA-009043-001/2022
EPI3596941,2024,Anseriformes,A/Duck/Volta/AI-T-24-452/2024
EPI3085017,2024,Anseriformes,A/greylag_goose/Czech_Republic/2745-1/2024
EPI2930806,2023,Falconiformes,A/Pilgrim Falcon/Sweden/SVA231220SZ0188/FB005034/E-2023
EPI1987373,2022,Columbiformes,A/pigeon/Germany-NW/AI00951/2022
EPI2703938,2022,Aves,A/Red-tailed Hawk/Minnesota/USDA-011871-001/2022
EPI2428417,2022,Aves,A/american_white_pelican/BC/AIVPHL-148/2022
EPI2703935,2022,Aves,A/Sanderling/Massachusetts/USDA-007696-003/2022
EPI2008533,2022,Aves,A/chicken/Virginia/22-004415-001/2022
EPI2885887,2022,Galliformes,A/chicken/Aomori/21B7C/2021
EPI3308296,2022,Aves,A/Great_Black-Backed_Gull/QC/FAV-0829-12/2022
EPI3410628,2024,Carnivora,A/cat/USA/24-010948-001/2024
