ID,Year,Host,strain name
EPI3418148,2024,Artiodactyla,A/dairy cow/Iowa/24_017584-005/2024
LC718258,2022,Passeriformes,A/jungle crow/Hokkaido/0104B085/2022
EPI2495657,2022,Galliformes,A/chicken/Magdalena/ICA-3503/2022
LC718250,2022,Passeriformes,A/jungle crow/Iwate/0304I001/2022
EPI2671518,2023,Aves,A/white_stork/Spain/1115-2-2023_23VIR6502-3/2023
EPI3648999,2024,Artiodactyla,A/dairy cow/USA/24_031626-001/2024
EPI3571222,2024,Artiodactyla,A/dairy cow/Texas/BI-MD-034/2024
EPI2671510,2023,Charadriiformes,A/mediterranean_gull/Spain/2994-9-2023_23VIR6502-37/2023
EPI3648991,2024,Artiodactyla,A/dairy cow/USA/24_031626-004/2024
EPI2701783,2023,mammals,A/blue fox/Finland/2023AI06876_071/2023
EPI1938828,2021,Aves,A/western jackdaw/Sweden/SVA211111SZ0376/FB004483/2021
EPI2856919,2023,Aves,A/American_Wigeon/BC/AIVPHL-1421/2023
EPI2114018,2022,Aves,A/Caspian Gull/Netherlands/5/2022
EPI3625426,2024,Artiodactyla,A/dairy cow/USA/24_029612-001/2024
EPI2495649,2022,Galliformes,A/chicken/Cordoba/ICA-3499/2022
EPI1938820,2021,Anseriformes,A/bean goose/Sweden/SVA211111SZ0372/FB004482/2021
EPI2788430,2022,Aves,A/hooded crane/Kagoshima/KU-19/2022 (H5N1)
EPI2114010,2022,Aves,A/European Herring Gull/Netherlands/8/2022
LC718242,2022,Anseriformes,A/whooper swan/Iwate/0303B006/2022
EPI2495641,2022,Galliformes,A/chicken/Choco/ICA-3504/2022
EPI1966009,2022,Galliformes,A/Phasianus_colchicus/Belgium/294/2022
EPI3571214,2024,Artiodactyla,A/dairy cow/Texas/BI-MD-035/2024
EPI2671502,2023,Aves,A/sandwich_tern/Spain/2988-6-2023_23VIR6502-36/2023
EPI1966001,2021,Galliformes,A/Gallus_gallus/Belgium/17100_0001/2021
EPI2701775,2023,mammals,A/silver fox/Finland/2023AI06834_029/2023
EPI2788422,2022,Aves,A/hooded crane/Kagoshima/KU-16/2022 (H5N1)
EPI2114002,2022,Aves,A/Common Tern/Netherlands/10/2022
EPI3395092,2023,Aves,A/Sterna hirundo/Espirito Santo/1455-N/2023
LC718234,2022,Passeriformes,A/jungle crow/Iwate/0303I003/2022
EPI2495633,2022,Galliformes,A/chicken/Choco/ICA-3502/2022
EPI1930099,2021,Anseriformes,A/mute swan/Netherlands/21038537-004/2021
EPI3571206,2024,Artiodactyla,A/dairy cow/Colorado/BI-MC-023/2024
EPI3487505,2024,Artiodactyla,A/dairy cow/Colorado/24_020284-005/2024
EPI3312794,2022,Aves,A/Mixed/ON/FAV-1124-2/2022
EPI2701767,2023,mammals,A/silver fox/Finland/2023AI06838_033/2023
EPI3395084,2023,Aves,A/Procellaria aequinoctialis/Sao Paulo/2259-N/2023
EPI3625402,2024,Artiodactyla,A/dairy cow/USA/24_029616-002/2024
LC718226,2022,Anseriformes,A/white-fronted goose/Iwate/TU16-74/2022
EPI2495625,2022,Galliformes,A/chicken/Bolivar/ICA-3500/2022
PQ135293,2024,Artiodactyla,A/cattle/IA/24-017584-005-original/2024
EPI2071384,2021,Anseriformes,A/greylag_goose/England/108485/2021
EPI1930083,2021,Anseriformes,A/greylag goose/Netherlands/21038253-001/2021
EPI2701759,2023,mammals,A/red fox/Finland/2023AI06879_074/2023
EPI2557436,2023,Aves,A/common buzzard/Sweden/SVA230426SZ0326/FB001208/H-2023
EPI2971762,2022,Anseriformes,A/duck/Egypt/SJCEIRR-BA20360C/2022
EPI1946407,2021,Aves,A/western jackdaw/Netherlands/21039297-002/2021
EPI2701751,2023,mammals,A/blue fox/Finland/2023AI06820_015/2023
EPI3395076,2023,Aves,A/Pluvialis dominica/Sao Paulo/2252-N/2023
LC718218,2022,Anseriformes,A/whooper swan/Iwate/0302I001T/2022
PQ135285,2024,Artiodactyla,A/cattle/IA/24-017584-004-original/2024
EPI2071376,2021,Galliformes,A/chicken/England/063664/2021
EPI3648959,2024,Artiodactyla,A/dairy cow/USA/24_031627-002/2024
EPI2557423,2023,Charadriiformes,A/black-headed gull /Sweden/SVA230424SZ0189/FB1181/AB-2023
EPI3648951,2024,Artiodactyla,A/dairy cow/USA/24_031627-003/2024
EPI1957993,2021,Galliformes,A/chicken/Tyumen/47-85V/2021
EPI749337,2014,Environment,A/Environment/Hunan/28147/2014
EPI2188291,2022,Anseriformes,A/snow goose/Kansas/W22-174B/2022
EPI3395068,2023,mammal,A/Otaria flavescens/Rio Grande do Sul/2165-SO/2023
EPI2613686,2023,Aves,A/Canada goose/New York/23-005698-001/2023
EPI3395060,2023,mammal,A/Otaria flavescens/Rio Grande do Sul/2148-N/2023
EPI2071368,2021,Anseriformes,A/canada_goose/England/300363/2021
EPI1930067,2021,Anseriformes,A/barnacle goose/Netherlands/21038248-001/2021
EPI2071360,2021,Galliformes,A/turkey/England/062369/2021
EPI3648943,2024,Artiodactyla,A/dairy cow/USA/24_031627-004/2024
EPI1957985,2021,Galliformes,A/chicken/Tyumen/47-79V/2021
EPI2188283,2022,Anseriformes,A/lesser snow goose/North Dakota/ND-10/2022
EPI3306097,2022,Aves,A/Coopers_Hawk/AB/FAV-0833-2/2022
EPI2613678,2023,Aves,A/American crow/New York/23-005695-001/2023
EPI2707031,2022,Galliformes,A/turkey/South Dakota/USDA-008483-002/2022
EPI3395052,2023,Aves,A/Numida meleagris/Santa Catarina/1843-N3/2023
EPI2029898,2022,Anseriformes,A/goose/Hunan/SE284/2022(H5N1)
EPI1930059,2021,Falconiformes,A/peregrine falcon/Netherlands/21038169-002/2021
EPI2029890,2022,Anseriformes,A/goose/Guizhou/S1541/2022(H5N1)
EPI2071352,2021,Galliformes,A/chicken/Northern_Ireland/17463/2021
EPI2129919,2022,Anseriformes,A/domestic_goose/England/105863/2022
EPI1930051,2021,Anseriformes,A/mute swan/Netherlands/21038038-001/2021
EPI3194423,2024,Galliformes,A/chicken/Czech_Republic/4720-2/2024
EPI1957977,2021,Galliformes,A/chicken/Tyumen/47-66V/2021
EPI2129911,2022,Anseriformes,A/domestic_duck/England/105414/2022
PQ373751.2,2024,Artiodactyla,A/cattle/Colorado/Broad_MF_014/2024
EPI2906701,2022,mammal,A/tibetan blue bear/France/CHUT-0007R2/2022
EPI104876,2005,Anseriformes,A/duck/Vietnam/S649/2005
EPI3395044,2023,Aves,A/Megascops choliba/Espirito Santo/1409-N/2023
EPI2613662,2023,Aves,A/great horned owl/Colorado/23-005619-001/2023
EPI2071344,2021,Anseriformes,A/barnacle_goose/England/293809/2021
EPI3312746,2022,Aves,A/Mixed/BC/FAV-1099-2/2022
EPI3648927,2024,Artiodactyla,A/dairy cow/USA/24_031637-001/2024
EPI1930043,2021,Anseriformes,A/greylag goose/Netherlands/21038037-001/2021
